record_id,calling_number,called_number,call_timestamp,duration_seconds,call_type,cell_tower_id,imei
CDR_1001,+919876543210,+919123456789,2026-01-25 10:14:22,342,VOICE,HYD_BANJARA_T1,864920194820192
CDR_1002,+919876543210,+919123456789,2026-01-26 14:20:05,512,VOICE,HYD_BANJARA_T1,864920194820192
CDR_1003,+919876543210,+919440112233,2026-01-27 09:05:11,180,VOICE,HYD_AMEERPET_T3,864920194820192
CDR_1004,+919123456789,+919988776655,2026-02-01 16:45:30,890,VOICE,PUN_KONDHWA_T2,359201928401928
CDR_1005,+919876543210,+919123456789,2026-02-12 11:35:10,420,VOICE,HYD_GACHIBOWLI_T4,864920194820192
CDR_1006,+919123456789,+919876543210,2026-02-12 12:10:44,215,VOICE,PUN_KONDHWA_T2,359201928401928
CDR_1007,+919876543210,+919123456789,2026-02-13 18:22:19,630,VOICE,HYD_MADHAPUR_T2,864920194820192
CDR_1008,+919123456789,+919988776655,2026-02-14 01:15:02,1120,VOICE,PUN_KONDHWA_T2,359201928401928
CDR_1009,+919440112233,+919876543210,2026-02-14 10:04:15,95,VOICE,HYD_AMEERPET_T3,864920194820192
CDR_1010,+919876543210,+919123456789,2026-02-14 19:50:12,185,VOICE,HYD_GACHIBOWLI_T4,864920194820192
CDR_1011,+919988776655,+919123456789,2026-02-17 21:05:40,410,VOICE,PUN_KONDHWA_T2,359201928401928
CDR_1012,+919876543210,+919000111222,2026-02-18 11:12:00,45,VOICE,HYD_AMEERPET_T3,864920194820192
